InvoiceMonth,Country,Revenue,Orders,ActiveCustomers,UnitsSold,AOV
2011-11-01,Austria,1329.78,2,2,717,664.89
2011-12-01,Austria,683.2,1,1,148,683.2
2010-05-01,Bahrain,488.21000000000004,1,1,303,488.21000000000004
2010-10-01,Bahrain,317.76,1,1,192,317.76
2011-05-01,Bahrain,548.4,2,2,260,274.2
2009-12-01,Belgium,447.6,3,2,153,149.20000000000002
2010-01-01,Belgium,1634.02,4,3,717,408.505
2010-02-01,Belgium,3209.0,3,2,704,1069.6666666666667
2010-03-01,Belgium,884.52,3,3,481,294.84
2010-04-01,Belgium,2570.39,4,4,1445,642.5975
2010-05-01,Belgium,98.15,1,1,38,98.15
2010-06-01,Belgium,3800.34,6,4,1588,633.39
2010-07-01,Belgium,1914.23,7,6,1393,273.4614285714286
2010-08-01,Belgium,1713.62,3,3,954,571.2066666666666
2010-09-01,Belgium,1190.91,5,5,651,238.18200000000002
2010-10-01,Belgium,1475.72,5,4,664,295.144
2010-11-01,Belgium,5252.9800000000005,7,7,2743,750.4257142857143
2010-12-01,Belgium,2156.01,5,4,2283,431.20200000000006
2011-01-01,Belgium,1200.2,3,3,792,400.06666666666666
2011-02-01,Belgium,2181.07,8,7,1102,272.63375
2011-03-01,Belgium,3351.98,9,8,1783,372.4422222222222
2011-04-01,Belgium,1989.48,6,6,1183,331.58
2011-05-01,Belgium,2732.4,9,7,1829,303.6
2011-06-01,Belgium,4274.82,11,11,2245,388.61999999999995
2011-07-01,Belgium,2475.57,5,4,1679,495.11400000000003
2011-08-01,Belgium,3554.02,9,8,2069,394.8911111111111
2011-09-01,Belgium,4208.02,7,7,1969,601.1457142857143
2011-10-01,Belgium,5685.38,11,9,3170,516.8527272727273
2011-11-01,Belgium,6315.76,11,8,2560,574.16
2011-12-01,Belgium,1417.73,4,4,1101,354.4325
2010-09-01,Brazil,268.27,1,1,189,268.27
2011-04-01,Brazil,1143.6,1,1,356,1143.6
2010-10-01,Canada,834.89,1,1,671,834.89
2010-11-01,Canada,381.77000000000004,1,1,223,381.77000000000004
2011-03-01,Canada,140.54,1,1,88,140.54
2011-05-01,Canada,534.24,1,1,504,534.24
2011-06-01,Canada,1171.46,1,1,1092,1171.46
2011-07-01,Canada,1768.58,2,1,1027,884.29
2011-08-01,Canada,51.559999999999995,1,1,52,51.559999999999995
2009-12-01,Channel Islands,989.18,1,1,439,989.18
2010-01-01,Channel Islands,838.75,1,1,193,838.75
2010-03-01,Channel Islands,1065.12,1,1,996,1065.12
2010-04-01,Channel Islands,926.82,1,1,367,926.82
2010-05-01,Channel Islands,5378.52,6,4,2403,896.4200000000001
2010-06-01,Channel Islands,845.0,1,1,500,845.0
2010-08-01,Channel Islands,1363.14,2,2,662,681.57
2010-09-01,Channel Islands,6156.34,9,5,3341,684.0377777777778
2010-10-01,Channel Islands,4341.19,4,3,1899,1085.2975
2010-11-01,Channel Islands,2278.73,3,3,1111,759.5766666666667
2010-12-01,Channel Islands,727.06,1,1,160,727.06
2011-01-01,Channel Islands,675.58,1,1,259,675.58
2011-02-01,Channel Islands,1784.71,1,1,935,1784.71
2011-03-01,Channel Islands,3509.33,3,3,2104,1169.7766666666666
2011-04-01,Channel Islands,293.0,1,1,97,293.0
2011-05-01,Channel Islands,1207.24,2,2,224,603.62
2011-06-01,Channel Islands,2060.0299999999997,1,1,836,2060.0299999999997
2011-08-01,Channel Islands,4886.88,5,4,2003,977.376
2011-09-01,Channel Islands,1323.75,2,2,764,661.875
2011-10-01,Channel Islands,2623.32,5,2,1407,524.664
2011-11-01,Channel Islands,1514.77,3,2,716,504.92333333333335
2011-12-01,Channel Islands,198.4,1,1,60,198.4
2009-12-01,Cyprus,3541.6800000000003,4,3,1572,885.4200000000001
2010-01-01,Cyprus,76.52000000000001,1,1,32,76.52000000000001
2010-02-01,Cyprus,750.49,2,1,294,375.245
2010-03-01,Cyprus,2879.19,5,4,1055,575.838
2010-04-01,Cyprus,1151.7,2,1,459,575.85
2010-05-01,Cyprus,515.61,1,1,144,515.61
2010-06-01,Cyprus,489.8,1,1,100,489.8
2010-09-01,Cyprus,993.1800000000001,3,3,493,331.06
2010-10-01,Cyprus,551.33,1,1,253,551.33
2010-11-01,Cyprus,397.59999999999997,1,1,208,397.59999999999997
2010-12-01,Cyprus,1587.07,1,1,916,1587.07
2011-01-01,Cyprus,547.5,1,1,144,547.5
2011-02-01,Cyprus,4334.24,6,4,2191,722.3733333333333
2011-03-01,Cyprus,938.39,1,1,1005,938.39
2011-06-01,Cyprus,1109.32,1,1,356,1109.32
2011-09-01,Cyprus,196.35,1,1,33,196.35
2011-10-01,Cyprus,4350.32,4,4,1402,1087.58
2011-11-01,Cyprus,439.66,1,1,293,439.66
2011-02-01,Czech Republic,549.26,1,1,346,549.26
2011-10-01,Czech Republic,277.48,1,1,325,277.48
2009-12-01,Denmark,1437.66,2,2,574,718.83
2010-01-01,Denmark,7870.6,2,2,63754,3935.3
2010-02-01,Denmark,19809.899999999998,2,1,93230,9904.949999999999
2010-03-01,Denmark,7595.18,2,2,64302,3797.59
2010-04-01,Denmark,748.0,1,1,576,748.0
2010-06-01,Denmark,2695.5099999999998,4,3,1887,673.8774999999999
2010-07-01,Denmark,591.6600000000001,1,1,164,591.6600000000001
2010-08-01,Denmark,2643.03,3,3,1520,881.0100000000001
2010-09-01,Denmark,1725.25,3,2,1307,575.0833333333334
2010-10-01,Denmark,448.6,2,2,169,224.3
2010-11-01,Denmark,4059.96,3,3,1753,1353.32
2010-12-01,Denmark,2563.0,1,1,908,2563.0
2011-02-01,Denmark,399.22,1,1,224,399.22
2011-03-01,Denmark,3978.9900000000002,1,1,879,3978.9900000000002
2011-05-01,Denmark,515.7,1,1,368,515.7
2011-06-01,Denmark,3261.15,3,3,1544,1087.05
2011-07-01,Denmark,376.24,1,1,241,376.24
2011-08-01,Denmark,213.15,1,1,338,213.15
2011-09-01,Denmark,4570.16,3,3,1608,1523.3866666666665
2011-10-01,Denmark,1490.76,3,3,869,496.92
2011-11-01,Denmark,2699.57,2,2,1537,1349.785
2011-12-01,Denmark,168.9,1,1,173,168.9
2009-12-01,EIRE,18170.46,16,2,8615,1135.65375
2010-01-01,EIRE,65031.41,30,5,30807,2167.713666666667
2010-02-01,EIRE,20206.46,17,3,11249,1188.615294117647
2010-03-01,EIRE,22989.46,27,3,14797,851.4614814814814
2010-04-01,EIRE,20668.08,16,3,11962,1291.755
2010-05-01,EIRE,18430.91,18,2,9401,1023.9394444444445
2010-06-01,EIRE,22934.34,24,2,12306,955.5975
2010-07-01,EIRE,31987.23,22,3,13700,1453.965
2010-08-01,EIRE,22919.36,23,3,14510,996.4939130434783
2010-09-01,EIRE,36322.78,34,2,19815,1068.3170588235294
2010-10-01,EIRE,43929.86,43,2,17302,1021.6246511627907
2010-11-01,EIRE,27717.73,37,3,13424,749.1278378378378
2010-12-01,EIRE,13547.66,15,3,8768,903.1773333333333
2011-01-01,EIRE,21904.19,7,2,8794,3129.1699999999996
2011-02-01,EIRE,10111.52,9,2,4953,1123.5022222222224
2011-03-01,EIRE,21674.36,22,3,9246,985.1981818181819
2011-04-01,EIRE,7570.5,11,2,4135,688.2272727272727
2011-05-01,EIRE,15977.15,18,3,7239,887.6194444444444
2011-06-01,EIRE,19835.99,24,2,12182,826.4995833333334
2011-07-01,EIRE,40854.15,22,3,21253,1857.0068181818183
2011-08-01,EIRE,16957.83,17,2,9086,997.519411764706
2011-09-01,EIRE,40832.64,36,2,22033,1134.24
2011-10-01,EIRE,24302.920000000002,31,2,15900,783.9651612903226
2011-11-01,EIRE,29448.41,39,2,16123,755.0874358974359
2011-12-01,EIRE,6978.92,9,1,3946,775.4355555555555
2011-04-01,European Community,191.4,1,1,34,191.4
2011-06-01,European Community,432.05,2,1,130,216.025
2011-07-01,European Community,676.8,1,1,335,676.8
2009-12-01,Finland,549.08,1,1,134,549.08
2010-01-01,Finland,801.42,2,2,263,400.71
2010-04-01,Finland,1255.13,3,2,649,418.3766666666667
2010-05-01,Finland,837.11,1,1,370,837.11
2010-06-01,Finland,534.14,1,1,242,534.14
2010-07-01,Finland,956.23,2,2,362,478.115
2010-09-01,Finland,864.68,2,2,763,432.34
2010-10-01,Finland,1166.69,2,2,675,583.345
2010-11-01,Finland,414.98,2,1,213,207.49
2010-12-01,Finland,892.8,1,1,1254,892.8
2011-01-01,Finland,889.02,2,2,765,444.51
2011-02-01,Finland,205.16,1,1,141,205.16
2011-03-01,Finland,5936.82,5,1,2536,1187.364
2011-04-01,Finland,1688.92,4,4,818,422.23
2011-06-01,Finland,329.56,1,1,157,329.56
2011-07-01,Finland,2996.73,3,3,1273,998.91
2011-08-01,Finland,1376.5,3,2,693,458.8333333333333
2011-09-01,Finland,1105.45,4,4,515,276.3625
2011-10-01,Finland,2822.12,6,5,1115,470.3533333333333
2011-11-01,Finland,3070.24,8,5,1087,383.78
2011-12-01,Finland,1232.76,3,3,350,410.92
2009-12-01,France,6521.69,13,10,3688,501.6684615384615
2010-01-01,France,8465.63,12,9,5313,705.4691666666666
2010-02-01,France,9024.16,17,12,4996,530.8329411764706
2010-03-01,France,8637.79,16,12,4541,539.861875
2010-04-01,France,7405.18,10,8,3985,740.518
2010-05-01,France,13912.55,16,14,8821,869.534375
2010-06-01,France,9172.54,23,18,5709,398.80608695652177
2010-07-01,France,11399.15,17,14,4034,670.5382352941176
2010-08-01,France,16570.32,10,10,89914,1657.032
2010-09-01,France,14531.33,26,16,6960,558.8973076923077
2010-10-01,France,15207.57,28,22,9921,543.1274999999999
2010-11-01,France,18968.74,37,24,10977,512.6686486486487
2010-12-01,France,15906.73,21,15,8178,757.4633333333334
2011-01-01,France,17740.12,29,24,9199,611.7282758620689
2011-02-01,France,8515.96,21,17,5340,405.5219047619047
2011-03-01,France,14584.95,25,17,8688,583.398
2011-04-01,France,5529.61,14,14,2287,394.97214285714284
2011-05-01,France,17606.48,39,28,9784,451.44820512820513
2011-06-01,France,16078.97,30,25,9578,535.9656666666666
2011-07-01,France,10000.19,22,18,5664,454.5540909090909
2011-08-01,France,13810.96,28,22,7958,493.2485714285714
2011-09-01,France,23428.04,45,36,13002,520.6231111111111
2011-10-01,France,33471.05,35,27,13801,956.3157142857144
2011-11-01,France,31274.75,62,39,17353,504.43145161290323
2011-12-01,France,7294.92,18,17,3786,405.2733333333333
2009-12-01,Germany,9830.27,18,10,4774,546.1261111111112
2010-01-01,Germany,12562.11,21,13,6321,598.1957142857143
2010-02-01,Germany,9124.25,27,18,4789,337.93518518518516
2010-03-01,Germany,16698.08,28,19,8883,596.36
2010-04-01,Germany,23683.231,31,22,12557,763.9751935483871
2010-05-01,Germany,9108.36,17,14,4246,535.7858823529413
2010-06-01,Germany,15668.43,27,16,9314,580.3122222222222
2010-07-01,Germany,20274.29,26,21,13100,779.7803846153846
2010-08-01,Germany,9943.119999999999,24,16,5264,414.2966666666666
2010-09-01,Germany,17708.68,32,21,9243,553.39625
2010-10-01,Germany,21499.98,38,30,11830,565.7889473684211
2010-11-01,Germany,30240.51,43,26,15679,703.2676744186047
2010-12-01,Germany,20889.82,30,18,9480,696.3273333333333
2011-01-01,Germany,16880.84,31,28,9053,544.5432258064516
2011-02-01,Germany,9581.05,19,17,4245,504.26578947368415
2011-03-01,Germany,14392.69,32,24,7739,449.7715625
2011-04-01,Germany,12315.54,23,19,5764,535.4582608695653
2011-05-01,Germany,25734.7,42,27,12987,612.7309523809524
2011-06-01,Germany,13246.35,24,21,7438,551.93125
2011-07-01,Germany,16440.98,33,26,9096,498.21151515151513
2011-08-01,Germany,19220.77,39,29,9641,492.8402564102564
2011-09-01,Germany,18079.47,41,31,11153,440.9626829268293
2011-10-01,Germany,31628.42,58,38,17732,545.3175862068965
2011-11-01,Germany,27967.68,68,44,13435,411.2894117647059
2011-12-01,Germany,7984.17,17,12,4006,469.65705882352944
2009-12-01,Greece,610.95,1,1,441,610.95
2010-01-01,Greece,4798.35,3,2,1573,1599.45
2010-03-01,Greece,522.73,1,1,259,522.73
2010-04-01,Greece,277.93,1,1,94,277.93
2010-05-01,Greece,2476.22,2,2,806,1238.11
2010-06-01,Greece,302.4,1,1,120,302.4
2010-08-01,Greece,721.7099999999999,1,1,561,721.7099999999999
2010-09-01,Greece,780.06,1,1,146,780.06
2010-10-01,Greece,3084.02,1,1,1753,3084.02
2010-11-01,Greece,761.3,1,1,414,761.3
2011-01-01,Greece,2661.24,1,1,526,2661.24
2011-03-01,Greece,387.31,1,1,289,387.31
2011-04-01,Greece,609.74,1,1,262,609.74
2011-07-01,Greece,421.24,1,1,244,421.24
2011-12-01,Greece,680.99,1,1,236,680.99
2010-10-01,Iceland,611.53,1,1,509,611.53
2010-12-01,Iceland,1423.58,1,1,638,1423.58
2011-01-01,Iceland,475.39,1,1,315,475.39
2011-04-01,Iceland,636.25,1,1,483,636.25
2011-06-01,Iceland,382.52,1,1,196,382.52
2011-08-01,Iceland,584.9100000000001,1,1,277,584.9100000000001
2011-10-01,Iceland,1294.32,1,1,676,1294.32
2011-12-01,Iceland,224.82,1,1,192,224.82
2010-07-01,Israel,1950.98,1,1,762,1950.98
2010-11-01,Israel,1248.42,1,1,370,1248.42
2011-02-01,Israel,779.1,1,1,286,779.1
2011-07-01,Israel,1430.75,1,1,633,1430.75
2011-08-01,Israel,4873.8099999999995,1,1,3028,4873.8099999999995
2011-10-01,Israel,132.18,2,1,96,66.09
2009-12-01,Italy,422.35,1,1,157,422.35
2010-01-01,Italy,39.67,1,1,1,39.67
2010-03-01,Italy,734.22,2,2,499,367.11
2010-04-01,Italy,1525.85,2,2,890,762.925
2010-05-01,Italy,2373.45,4,3,1042,593.3625
2010-06-01,Italy,267.45,2,2,134,133.725
2010-09-01,Italy,1380.56,2,2,1074,690.28
2010-10-01,Italy,5208.22,7,7,2116,744.0314285714286
2010-11-01,Italy,2673.16,6,5,1287,445.52666666666664
2010-12-01,Italy,1239.3,2,2,459,619.65
2011-01-01,Italy,2402.51,3,3,1121,800.8366666666667
2011-02-01,Italy,256.0,1,1,111,256.0
2011-03-01,Italy,1806.81,4,3,688,451.7025
2011-04-01,Italy,737.8299999999999,2,2,653,368.91499999999996
2011-05-01,Italy,587.45,1,1,267,587.45
2011-06-01,Italy,202.07,2,2,55,101.035
2011-07-01,Italy,147.1,1,1,22,147.1
2011-08-01,Italy,1990.95,4,3,1147,497.7375
2011-09-01,Italy,279.8,1,1,48,279.8
2011-10-01,Italy,3489.69,7,5,1597,498.52714285714285
2011-11-01,Italy,4571.08,9,9,2063,507.8977777777778
2011-12-01,Italy,200.45000000000002,1,1,45,200.45000000000002
2010-01-01,Japan,2.95,1,1,1,2.95
2010-02-01,Japan,193.72,2,2,117,96.86
2010-03-01,Japan,110.4,1,1,48,110.4
2010-06-01,Japan,594.68,2,2,428,297.34
2010-07-01,Japan,1253.3,3,1,726,417.76666666666665
2010-09-01,Japan,1895.0,1,1,1100,1895.0
2010-10-01,Japan,1533.8899999999999,1,1,3199,1533.8899999999999
2010-11-01,Japan,23.6,3,1,8,7.866666666666667
2010-12-01,Japan,11819.55,3,3,5777,3939.85
2011-02-01,Japan,5780.8099999999995,2,2,2999,2890.4049999999997
2011-03-01,Japan,48.9,3,3,21,16.3
2011-04-01,Japan,6548.5,2,2,8058,3274.25
2011-05-01,Japan,1351.45,1,1,743,1351.45
2011-06-01,Japan,1607.04,1,1,2256,1607.04
2011-07-01,Japan,3854.4,2,2,2328,1927.2
2011-09-01,Japan,112.07999999999998,1,1,144,112.07999999999998
2011-10-01,Japan,1948.0400000000002,2,2,1124,974.0200000000001
2011-11-01,Japan,8460.08,2,2,4250,4230.04
2010-09-01,Korea,168.69000000000003,1,1,102,168.69000000000003
2010-11-01,Korea,949.82,1,1,598,949.82
2011-01-01,Lebanon,1693.88,1,1,386,1693.88
2010-07-01,Lithuania,1706.23,1,1,971,1706.23
2010-11-01,Lithuania,1525.39,1,1,683,1525.39
2010-12-01,Lithuania,3322.12,4,1,1304,830.53
2010-02-01,Malta,1636.38,2,1,606,818.19
2010-08-01,Malta,3737.12,2,1,943,1868.56
2011-06-01,Malta,863.16,2,1,402,431.58
2011-08-01,Malta,1119.0,2,2,382,559.5
2011-11-01,Malta,743.43,1,1,186,743.43
2009-12-01,Netherlands,15204.73,6,2,10822,2534.1216666666664
2010-01-01,Netherlands,29230.77,6,3,20531,4871.795
2010-02-01,Netherlands,17255.39,8,2,9883,2156.92375
2010-03-01,Netherlands,24447.98,15,4,16662,1629.8653333333334
2010-04-01,Netherlands,6888.78,10,8,4944,688.8779999999999
2010-05-01,Netherlands,22416.53,8,6,14910,2802.06625
2010-06-01,Netherlands,24224.51,8,4,15761,3028.06375
2010-07-01,Netherlands,5532.64,10,8,3409,553.264
2010-08-01,Netherlands,25028.69,10,5,17667,2502.8689999999997
2010-09-01,Netherlands,45037.14,19,8,29199,2370.375789473684
2010-10-01,Netherlands,17265.85,12,4,17628,1438.8208333333332
2010-11-01,Netherlands,36058.74,22,7,22102,1639.0336363636363
2010-12-01,Netherlands,8977.08,3,2,6908,2992.36
2011-01-01,Netherlands,26611.16,5,2,20417,5322.232
2011-02-01,Netherlands,23011.91,5,2,16387,4602.382
2011-03-01,Netherlands,22416.489999999998,8,4,14828,2802.0612499999997
2011-04-01,Netherlands,2976.56,3,1,1768,992.1866666666666
2011-05-01,Netherlands,29185.88,11,4,19936,2653.2618181818184
2011-06-01,Netherlands,26858.09,11,5,19744,2441.6445454545456
2011-07-01,Netherlands,26.02,1,1,10,26.02
2011-08-01,Netherlands,40327.81,7,1,29300,5761.115714285714
2011-09-01,Netherlands,26937.26,7,2,17309,3848.18
2011-10-01,Netherlands,40708.65,15,4,27230,2713.9100000000003
2011-11-01,Netherlands,25874.01,15,4,18663,1724.934
2011-12-01,Netherlands,11728.02,3,1,7958,3909.34
2010-01-01,Nigeria,27.82,1,1,1,27.82
2010-08-01,Nigeria,112.57000000000001,1,1,102,112.57000000000001
2009-12-01,Norway,485.31,1,1,182,485.31
2010-03-01,Norway,13916.34,2,1,2,6958.17
2010-08-01,Norway,152.4,1,1,508,152.4
2010-09-01,Norway,973.69,1,1,619,973.69
2010-11-01,Norway,4629.32,4,3,2974,1157.33
2010-12-01,Norway,7574.24,2,1,7164,3787.12
2011-02-01,Norway,630.9,2,2,295,315.45
2011-03-01,Norway,1265.31,4,1,156,316.3275
2011-06-01,Norway,5886.860000000001,4,2,2009,1471.7150000000001
2011-07-01,Norway,890.0699999999999,1,1,586,890.0699999999999
2011-08-01,Norway,2025.81,2,2,636,1012.905
2011-09-01,Norway,8678.94,6,5,4655,1446.49
2011-10-01,Norway,3687.23,7,5,1692,526.7471428571429
2011-11-01,Norway,6527.5,5,5,3406,1305.5
2011-12-01,Norway,2785.7000000000003,3,2,2319,928.5666666666667
2009-12-01,Poland,371.82,1,1,266,371.82
2010-03-01,Poland,318.86,1,1,194,318.86
2010-06-01,Poland,556.16,1,1,282,556.16
2010-07-01,Poland,374.75,1,1,143,374.75
2010-08-01,Poland,527.4399999999999,1,1,320,527.4399999999999
2010-09-01,Poland,349.47,2,2,231,174.735
2010-11-01,Poland,821.14,2,2,568,410.57
2010-12-01,Poland,496.32,1,1,280,496.32
2011-01-01,Poland,613.22,1,1,288,613.22
2011-02-01,Poland,604.05,2,2,297,302.025
2011-03-01,Poland,317.78,1,1,162,317.78
2011-04-01,Poland,705.8399999999999,1,1,432,705.8399999999999
2011-05-01,Poland,1522.37,3,3,616,507.45666666666665
2011-06-01,Poland,343.65000000000003,2,2,81,171.82500000000002
2011-07-01,Poland,687.3,2,2,288,343.65
2011-08-01,Poland,401.8,2,2,186,200.9
2011-09-01,Poland,529.25,2,2,253,264.625
2011-11-01,Poland,1361.23,2,2,941,680.615
2009-12-01,Portugal,2821.58,2,2,1575,1410.79
2010-01-01,Portugal,117.72,1,1,1,117.72
2010-02-01,Portugal,458.83000000000004,3,2,245,152.94333333333336
2010-03-01,Portugal,2519.05,2,2,1349,1259.525
2010-04-01,Portugal,85.53999999999999,1,1,46,85.53999999999999
2010-05-01,Portugal,757.2,2,2,216,378.6
2010-06-01,Portugal,3668.46,4,4,1632,917.115
2010-07-01,Portugal,288.1,1,1,72,288.1
2010-08-01,Portugal,463.21999999999997,2,2,189,231.60999999999999
2010-09-01,Portugal,2964.58,6,4,1795,494.09666666666664
2010-10-01,Portugal,2978.23,5,5,2224,595.646
2010-11-01,Portugal,5056.43,7,5,1984,722.3471428571429
2010-12-01,Portugal,4104.49,6,6,1644,684.0816666666666
2011-01-01,Portugal,4055.71,4,4,2094,1013.9275
2011-02-01,Portugal,1213.9,2,2,558,606.95
2011-03-01,Portugal,2660.85,5,4,1626,532.17
2011-04-01,Portugal,1687.75,2,2,951,843.875
2011-05-01,Portugal,4202.2300000000005,5,1,315,840.4460000000001
2011-06-01,Portugal,884.46,3,3,421,294.82
2011-07-01,Portugal,2287.85,3,3,1436,762.6166666666667
2011-08-01,Portugal,1221.4,1,1,1026,1221.4
2011-09-01,Portugal,1433.22,3,3,899,477.74
2011-10-01,Portugal,5877.01,9,5,3143,653.0011111111112
2011-11-01,Portugal,2603.3,10,7,1073,260.33000000000004
2011-12-01,Portugal,2808.19,4,4,1569,702.0475
2010-02-01,RSA,931.43,1,1,591,931.43
2011-10-01,RSA,1002.3100000000001,1,1,351,1002.3100000000001
2011-02-01,Saudi Arabia,145.92,1,1,80,145.92
2010-04-01,Singapore,1252.95,1,1,509,1252.95
2010-09-01,Singapore,2784.82,3,1,1244,928.2733333333334
2011-01-01,Singapore,2053.07,1,1,1091,2053.07
2011-04-01,Singapore,8209.58,3,1,1389,2736.5266666666666
2011-07-01,Singapore,3949.32,1,1,2160,3949.32
2011-10-01,Singapore,7067.32,2,1,601,3533.66
2009-12-01,Spain,7950.18,5,4,3279,1590.036
2010-01-01,Spain,4179.59,9,6,1193,464.3988888888889
2010-02-01,Spain,554.04,4,3,279,138.51
2010-03-01,Spain,1671.77,6,4,1040,278.62833333333333
2010-04-01,Spain,833.98,2,2,490,416.99
2010-05-01,Spain,2854.58,5,3,1498,570.9159999999999
2010-06-01,Spain,2332.2,2,2,884,1166.1
2010-07-01,Spain,1134.81,3,3,806,378.27
2010-08-01,Spain,1299.99,5,4,675,259.998
2010-09-01,Spain,3770.45,6,6,2325,628.4083333333333
2010-10-01,Spain,14066.13,10,8,6937,1406.6129999999998
2010-11-01,Spain,6126.21,7,6,2968,875.1728571428572
2010-12-01,Spain,2638.45,4,4,1334,659.6125
2011-01-01,Spain,10086.09,8,7,3845,1260.76125
2011-02-01,Spain,2114.5,4,4,870,528.625
2011-03-01,Spain,5363.15,8,8,2545,670.39375
2011-04-01,Spain,1785.65,3,3,953,595.2166666666667
2011-05-01,Spain,3257.6,4,3,1468,814.4
2011-06-01,Spain,3333.21,8,8,1538,416.65125
2011-07-01,Spain,7620.77,9,7,3435,846.7522222222223
2011-08-01,Spain,3342.41,10,6,1598,334.241
2011-09-01,Spain,5189.24,8,6,2683,648.655
2011-10-01,Spain,8636.94,8,7,4352,1079.6175
2011-11-01,Spain,8669.06,14,12,3505,619.2185714285714
2011-12-01,Spain,316.21,2,2,274,158.105
2009-12-01,Sweden,285.29999999999995,1,1,174,285.29999999999995
2010-01-01,Sweden,1680.15,3,2,1537,560.0500000000001
2010-02-01,Sweden,8202.58,7,3,8497,1171.797142857143
2010-03-01,Sweden,1314.18,5,4,548,262.836
2010-04-01,Sweden,17698.12,16,3,18648,1106.1325
2010-05-01,Sweden,3556.7599999999998,10,1,6084,355.676
2010-06-01,Sweden,914.3000000000001,2,2,467,457.15000000000003
2010-07-01,Sweden,2590.78,2,2,2513,1295.39
2010-08-01,Sweden,2702.94,5,2,1827,540.588
2010-09-01,Sweden,2899.56,4,3,3526,724.89
2010-10-01,Sweden,9369.41,8,6,7814,1171.17625
2010-11-01,Sweden,1933.91,5,3,782,386.78200000000004
2010-12-01,Sweden,3834.2999999999997,2,1,3954,1917.1499999999999
2011-01-01,Sweden,3486.32,2,2,3097,1743.16
2011-02-01,Sweden,509.5,1,1,250,509.5
2011-03-01,Sweden,4720.58,3,2,5407,1573.5266666666666
2011-04-01,Sweden,809.1,2,2,310,404.55
2011-05-01,Sweden,2681.98,3,2,2833,893.9933333333333
2011-06-01,Sweden,832.0,3,3,404,277.3333333333333
2011-07-01,Sweden,6802.09,3,2,6006,2267.3633333333332
2011-08-01,Sweden,1390.3600000000001,5,4,1309,278.072
2011-09-01,Sweden,4575.21,3,3,4344,1525.07
2011-10-01,Sweden,5766.16,3,2,6151,1922.0533333333333
2011-11-01,Sweden,2722.23,5,5,1973,544.446
2011-12-01,Sweden,238.0,1,1,40,238.0
2009-12-01,Switzerland,589.4,1,1,220,589.4
2010-02-01,Switzerland,477.68,1,1,306,477.68
2010-03-01,Switzerland,951.62,3,2,454,317.20666666666665
2010-04-01,Switzerland,1939.76,2,2,1201,969.88
2010-05-01,Switzerland,9825.16,6,5,5947,1637.5266666666666
2010-06-01,Switzerland,2362.47,2,2,1882,1181.235
2010-07-01,Switzerland,743.99,5,3,507,148.798
2010-08-01,Switzerland,2053.05,3,3,1062,684.35
2010-09-01,Switzerland,2474.44,4,3,1356,618.61
2010-10-01,Switzerland,8629.69,6,6,4611,1438.2816666666668
2010-11-01,Switzerland,13570.73,6,5,4599,2261.7883333333334
2010-12-01,Switzerland,1608.32,2,2,824,804.16
